2023-07-11 15:52:24.363 [restartedMain] INFO  o.a.c.c.C.[.[.[/LeonAPI/dev] - Initializing Spring embedded WebApplicationContext
2023-07-11 15:52:24.364 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 988 ms
2023-07-11 15:52:24.436 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-07-11 15:52:24.611 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@2a69d998
2023-07-11 15:52:24.613 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-07-11 15:52:24.670 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.5.Final
2023-07-11 15:52:24.671 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2023-07-11 15:52:24.765 [restartedMain] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2023-07-11 15:52:24.850 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2023-07-11 15:52:25.017 [restartedMain] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2023-07-11 15:52:25.445 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-07-11 15:52:25.447 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-07-11 15:52:25.706 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2023-07-11 15:52:26.269 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@279a047f, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4b70f130, org.springframework.security.web.context.SecurityContextHolderFilter@750a7735, org.springframework.security.web.header.HeaderWriterFilter@1d271f62, org.springframework.web.filter.CorsFilter@2e9314db, org.springframework.security.web.authentication.logout.LogoutFilter@1bd05b22, com.example.leonproject.config.JWTAuthenticationFilter@376db354, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@64c5101, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1d906867, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2ab59d67, org.springframework.security.web.session.SessionManagementFilter@336c44c3, org.springframework.security.web.access.ExceptionTranslationFilter@ab0922d, org.springframework.security.web.access.intercept.AuthorizationFilter@2df82fcb]
2023-07-11 15:52:26.438 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-07-11 15:52:26.469 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/LeonAPI/dev'
2023-07-11 15:52:26.483 [restartedMain] INFO  c.e.l.LeonProjectApplication - Started LeonProjectApplication in 3.439 seconds (process running for 3.865)
2023-07-11 15:52:26.504 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-07-11 15:52:26.507 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-07-11 15:52:26.512 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-07-11 15:52:29.977 [restartedMain] INFO  c.e.l.LeonProjectApplication - Starting LeonProjectApplication using Java 17.0.7 with PID 20580 (C:\Users\leon.yu\IdeaProjects\LeonProject\target\classes started by leon.yu in C:\Users\leon.yu\IdeaProjects\LeonProject)
2023-07-11 15:52:29.979 [restartedMain] INFO  c.e.l.LeonProjectApplication - The following 1 profile is active: "dev"
2023-07-11 15:52:30.009 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-07-11 15:52:30.010 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-07-11 15:52:30.576 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-07-11 15:52:30.615 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 33 ms. Found 3 JPA repository interfaces.
2023-07-11 15:52:31.051 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-11 15:52:31.057 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-07-11 15:52:31.058 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.10]
2023-07-11 15:52:31.102 [restartedMain] INFO  o.a.c.c.C.[.[.[/LeonAPI/dev] - Initializing Spring embedded WebApplicationContext
2023-07-11 15:52:31.102 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1092 ms
2023-07-11 15:52:31.184 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-07-11 15:52:31.376 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@67aae4b
2023-07-11 15:52:31.377 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-07-11 15:52:31.442 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.5.Final
2023-07-11 15:52:31.444 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2023-07-11 15:52:31.543 [restartedMain] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2023-07-11 15:52:31.643 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2023-07-11 15:52:31.822 [restartedMain] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2023-07-11 15:52:32.263 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-07-11 15:52:32.265 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-07-11 15:52:32.525 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2023-07-11 15:52:33.166 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@686d1714, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7f9f0546, org.springframework.security.web.context.SecurityContextHolderFilter@2a6f8a9e, org.springframework.security.web.header.HeaderWriterFilter@714dba4e, org.springframework.web.filter.CorsFilter@54b5c83e, org.springframework.security.web.authentication.logout.LogoutFilter@155920f5, com.example.leonproject.config.JWTAuthenticationFilter@32c2e359, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3f5d6474, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2690af84, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2f181010, org.springframework.security.web.session.SessionManagementFilter@23c08411, org.springframework.security.web.access.ExceptionTranslationFilter@13d02c4c, org.springframework.security.web.access.intercept.AuthorizationFilter@35f45225]
2023-07-11 15:52:33.380 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-07-11 15:52:33.412 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/LeonAPI/dev'
2023-07-11 15:52:33.427 [restartedMain] INFO  c.e.l.LeonProjectApplication - Started LeonProjectApplication in 3.779 seconds (process running for 4.27)
2023-07-11 15:52:33.564 [pool-3-thread-1] INFO  c.e.l.schedule.TimeSheetScheduler - ===:時間:15:52:33工時表更新成功
2023-07-11 15:52:38.037 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-07-11 15:52:38.039 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-07-11 15:52:38.045 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-07-11 17:03:20.699 [restartedMain] INFO  c.e.l.LeonProjectApplication - Starting LeonProjectApplication using Java 17.0.7 with PID 9620 (C:\Users\leon.yu\IdeaProjects\LeonProject\target\classes started by leon.yu in C:\Users\leon.yu\IdeaProjects\LeonProject)
2023-07-11 17:03:20.701 [restartedMain] INFO  c.e.l.LeonProjectApplication - The following 1 profile is active: "dev"
2023-07-11 17:03:20.727 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-07-11 17:03:20.727 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
